Name,"Team","Position","DateStart","DateEnd","NumberOfGames","Minutes","Goal","Assist","ChanceAssist","KeyPass","KeyLoss","DuelLossInBox","DuelLossOutBox","MissBlockShot","RescueAction","Finalization","KeyIndividualAction","KeyRecover","DuelWinInBox","BlockShot","PktOff","PktDef"
Dawid Kaczor (07),C2,NAPASTNIK,2025-10-04,2025-10-05,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-10-11,2025-10-12,1,80,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-10-18,2025-10-19,1,80,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-10-25,2025-10-26,1,70,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-10-29,2025-10-29,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-11-08,2025-11-09,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-11-14,2025-11-16,1,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-11-29,2025-11-30,1,70,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Dawid Kaczor (07),C2,NAPASTNIK,2025-12-06,2025-12-07,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Polak (08),C2,ŚPO,2025-09-20,2025-09-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawid Polak (08),C2,ŚPO,2025-09-29,2025-09-30,1,57,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
Dawid Polak (08),C2,ŚPO,2025-10-04,2025-10-05,1,55,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,1
Dawid Polak (08),C2,ŚPO,2025-10-11,2025-10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
